MM_mean,MM_std,PT1_mean,PT1_std,checkpoint
-1688282.45,1265468.163640679,-410748.48,328832.8180908341,0.0
-1969779.3,1163166.4443936388,-1016099.15,564019.3452982198,20.0
-1475761.79,1577179.4733077402,-359825.3,493563.1879557976,40.0
-1501597.64,2097436.985386043,-200306.09,249347.83635723992,60.0
-1687393.31,1899868.9548358563,-176320.05,202668.8019064417,80.0
-1257994.01,1365990.881053653,-143226.11,203680.35367247107,100.0
-1612625.69,1879343.2500263648,-73203.46,91547.50131783172,120.0
-570551.38,933480.8382635637,-37819.21,51254.50801676766,140.0
-582455.21,829862.4026091138,-16795.52,27338.47866395641,160.0
-561887.99,668637.3283071959,-10691.55,36557.18718107973,180.0
-707439.51,974648.3615611299,-31824.66,49983.30519517892,200.0
-572510.34,722196.6174249602,-30575.6,46111.2028073439,220.0
-1183300.1,1371699.7487867454,-76259.81,98068.78873570786,240.0
-681779.73,734030.9668441394,-25000.3,55436.48326057489,260.0
-1020259.47,1583691.911559595,-45079.46,62234.64394931813,280.0
-934761.93,1190267.0279895517,-68332.24,101939.79729831919,300.0
-962052.75,1392742.0746937827,-65358.58,107113.36553490232,320.0
-990309.27,955764.9546510178,-87713.23,143343.3948612286,340.0
-1086935.31,1510254.8787067363,-38482.05,65816.77206406054,360.0
-1077637.01,1062602.350101248,-61739.81,76449.78226057219,380.0
-913315.32,1056666.6412647688,-47923.3,67212.42547475875,400.0
-1345635.45,1385139.177501897,-48515.38,58675.179666410906,420.0
-1374021.72,1410586.2883382218,-24305.92,65495.05824314991,440.0
-1581105.52,1791103.1487062434,-30723.64,43151.11127874228,460.0
-1843492.91,1690736.6559785816,-41497.33,65904.45064679699,480.0
-1379798.85,1317267.2456455647,-25066.59,68605.39403557783,500.0
-1270917.51,1266442.2653591575,-19593.29,60184.167975730124,520.0
-1574822.98,1695062.6857558452,-22559.97,44845.069539739816,540.0
-994298.22,979350.7872052493,-14949.13,55270.028739436166,560.0
-1426119.83,1734861.2582731124,-17016.14,63339.00276015088,580.0
-1311350.03,1404420.6462704982,-26008.8,62404.437884576764,600.0
-1032924.73,1096787.020684646,-50015.86,72231.40719119627,620.0
-1251693.85,1430759.9224904617,-20495.77,53450.78792526917,640.0
-1223478.22,1078060.3824174653,-32715.11,52423.46501875758,660.0
-1507619.0,1530679.1049701339,-31784.43,56447.179360620845,680.0
-1488526.9,1098127.076089293,-51561.54,54775.8682856639,700.0
-1082851.77,994127.6044669225,-48940.89,86175.86454995911,720.0
-1162340.42,1026353.4505630034,-56126.73,61698.841548136865,740.0
-1297765.95,1431439.9935430135,-57960.38,84707.34734682465,760.0
-1012061.2,869684.7424618532,-38242.11,78751.66315947175,780.0
-1069515.24,951028.8587867207,-51716.48,71703.17454450396,800.0
-1209857.93,1182148.861225163,-71525.98,88762.0337366692,820.0
-1320175.03,959027.0687005264,-40900.97,67748.18650564825,840.0
-1100602.57,850543.6011139523,-42848.48,50012.38942551736,860.0
-1107356.96,977171.1781911593,-57064.0,70706.55730439717,880.0
-1294032.64,1071824.9939256178,-49911.11,81359.9360501402,900.0
-1396063.73,1116253.12919213,-11739.93,78067.4230401523,920.0
-915100.95,651089.5457710733,-22189.43,60043.30917271384,940.0
-1388085.08,1268070.1136524524,-21066.21,68581.20125858762,960.0
-1223745.11,1028176.2946205689,-62442.52,78892.48613321551,980.0
-1328937.97,1087317.5458918817,-65042.28,79043.50300158514,1000.0
-1260669.37,883089.5809784748,-48854.02,66674.06817286313,1020.0
-1274364.92,897784.7863602132,-32962.23,76057.74868014501,1040.0
-1138589.31,928993.4639583849,-57938.28,74046.83569823629,1060.0
-1096610.63,900991.9207674052,-50574.41,68761.78362693117,1080.0
-1291091.77,1243470.531492557,-51161.91,87177.50338153129,1100.0
-1361383.71,1429318.3814028841,-66279.11,84713.79368209702,1120.0
-1405953.64,948560.3197618169,-56105.27,92031.17956460245,1140.0
-1719769.89,1590786.7523141257,-51722.5,65990.43369133136,1160.0
-1221940.43,1234291.0200615616,-56819.68,79545.85695966573,1180.0
-1279233.08,1433643.8312904653,-77020.55,112671.03968656942,1200.0
-1455622.45,1527265.401498483,-84598.89,95959.15844432412,1220.0
-1775017.91,1621484.0304642494,-55330.72,63898.0411185789,1240.0
-1474472.68,1256081.6925125043,-38479.08,56307.92586673389,1260.0
-1171688.17,1391093.9196955813,-48103.36,69822.87128019301,1280.0
-1276420.28,1340630.4980238483,-75443.83,113901.78629962789,1300.0
-1339482.67,1269178.1567077714,-50950.74,60768.7987315234,1320.0
-1417938.42,1241129.8146126147,-61372.6,72823.2521519741,1340.0
-1442262.51,1446797.6663574197,-85478.28,95932.94114730142,1360.0
-1510639.69,1743903.499530298,-80146.58,95420.15325995655,1380.0
-1039154.06,934249.9679613034,-89630.37,95493.95123811821,1400.0
-1677744.76,1768290.8695214377,-80686.11,77274.16225908179,1420.0
