,MM,PT1
0,-3504219.5,-210.0
1,-433047.0,-28211.5
2,-4466202.5,-74066.0
3,-333935.5,-59364.0
4,-436209.5,-6762.5
5,-2265082.0,-68338.0
6,-3715458.5,57299.0
7,59543.5,-21109.5
8,-279070.5,52473.0
9,30520.0,1724.0
10,-2506910.0,569.0
11,-322413.0,-137943.5
12,-245980.5,-3629.0
13,-342067.5,16833.0
14,-301095.0,-70828.0
15,-1414638.0,-40160.0
16,-301681.0,-10156.0
17,-323714.5,-4960.5
18,-2637134.0,26931.5
19,-883370.0,-62210.0
20,-1913356.5,-32880.0
21,-2936773.5,-27669.5
22,-182380.0,-110115.0
23,-548602.5,-27486.0
24,-994049.5,-33572.5
25,-1178661.0,-35543.5
26,-335047.5,45755.0
27,-959435.0,-93355.0
28,-145020.5,-56207.5
29,-515472.5,28.0
30,-9625.5,-23006.0
31,-804576.5,35865.0
32,-348471.5,-185904.0
33,-2305680.5,140.0
34,-2430882.5,-151482.0
35,57921.0,249627.5
36,-2709771.0,-160195.5
37,-3333907.5,-109531.0
38,-3066478.0,11767.0
39,-3999075.5,-34246.0
40,-54607.5,-35983.5
41,103543.0,-49133.0
42,-72820.5,-19926.5
43,-103374.0,-43042.0
44,-514219.0,-8325.0
45,-282365.5,79140.5
46,-439582.5,-7201.0
47,-2229470.0,-13651.0
48,-921118.5,-37265.5
49,-407181.0,71316.5
